Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
P46783	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P46783
P62280	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; osteoblast differentiation [GO:0001649]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62280
P25398	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P25398
P62277	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribosome [GO:0005840]; 5.8S rRNA binding [GO:1990932]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; negative regulation of RNA splicing [GO:0033119]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62277
P62263	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation regulator activity [GO:0045182]; erythrocyte differentiation [GO:0030218]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62263
P62244	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell proliferation [GO:0008284]; response to virus [GO:0009615]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62244
P62249	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62249
P08708	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; erythrocyte homeostasis [GO:0034101]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P08708
P62269	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62269
P39019	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; fibroblast growth factor binding [GO:0017134]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; erythrocyte differentiation [GO:0030218]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; monocyte chemotaxis [GO:0002548]; negative regulation of respiratory burst involved in inflammatory response [GO:0060266]; Notch signaling pathway [GO:0007219]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nucleolus organization [GO:0007000]; positive regulation of cellular component movement [GO:0051272]; positive regulation of respiratory burst involved in inflammatory response [GO:0060265]; protein tetramerization [GO:0051262]; response to extracellular stimulus [GO:0009991]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P39019
P15880	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; fibroblast growth factor binding [GO:0017134]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transferase activity [GO:0051347]; protein methylation [GO:0006479]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P15880
P60866	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P60866
P63220	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P63220
P62266	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62266
P62847	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation initiation factor binding [GO:0031369]; erythrocyte homeostasis [GO:0034101]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P62847
P42677	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribosome [GO:0005840]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; cell proliferation [GO:0008283]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA processing [GO:0006364]; sister chromatid cohesion [GO:0007062]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P42677
P23396	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906]; endodeoxyribonuclease activity [GO:0004520]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; iron-sulfur cluster binding [GO:0051536]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein complex binding [GO:0032403]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; SUMO binding [GO:0032183]; supercoiled DNA binding [GO:0097100]; transcription factor binding [GO:0008134]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; DNA damage response, detection of DNA damage [GO:0042769]; DNA repair [GO:0006281]; mitotic nuclear division [GO:0007067]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to oxidative stress [GO:0006979]; response to TNF agonist [GO:0061481]; rRNA processing [GO:0006364]; spindle assembly [GO:0051225]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; transcription, DNA-templated [GO:0006351]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	P23396
